=============================================
  4-bit Adder Self-Checking Testbench
=============================================

--- Directed Tests ---
UVM_INFO: [PASS] exhaustive_a2_b4_c0 | a=2 b=4 cin=0 | sum=6 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b4_c1 | a=2 b=4 cin=1 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b5_c0 | a=2 b=5 cin=0 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b5_c1 | a=2 b=5 cin=1 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a2_b6_c0 | a=2 b=6 cin=0 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a2_b6_c1 | a=2 b=6 cin=1 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a2_b7_c0 | a=2 b=7 cin=0 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a2_b7_c1 | a=2 b=7 cin=1 | sum=a cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a2_b8_c0 | a=2 b=8 cin=0 | sum=a cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b8_c1 | a=2 b=8 cin=1 | sum=b cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b9_c0 | a=2 b=9 cin=0 | sum=b cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b9_c1 | a=2 b=9 cin=1 | sum=c cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_ba_c0 | a=2 b=a cin=0 | sum=c cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_ba_c1 | a=2 b=a cin=1 | sum=d cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_bb_c0 | a=2 b=b cin=0 | sum=d cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_bb_c1 | a=2 b=b cin=1 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_bc_c0 | a=2 b=c cin=0 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_bc_c1 | a=2 b=c cin=1 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_bd_c0 | a=2 b=d cin=0 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_bd_c1 | a=2 b=d cin=1 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_be_c0 | a=2 b=e cin=0 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_be_c1 | a=2 b=e cin=1 | sum=1 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_bf_c0 | a=2 b=f cin=0 | sum=1 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_bf_c1 | a=2 b=f cin=1 | sum=2 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b0_c0 | a=3 b=0 cin=0 | sum=3 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b0_c1 | a=3 b=0 cin=1 | sum=4 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b1_c0 | a=3 b=1 cin=0 | sum=4 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b1_c1 | a=3 b=1 cin=1 | sum=5 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b2_c0 | a=3 b=2 cin=0 | sum=5 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b2_c1 | a=3 b=2 cin=1 | sum=6 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b3_c0 | a=3 b=3 cin=0 | sum=6 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b3_c1 | a=3 b=3 cin=1 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b4_c0 | a=3 b=4 cin=0 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b4_c1 | a=3 b=4 cin=1 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a3_b5_c0 | a=3 b=5 cin=0 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a3_b5_c1 | a=3 b=5 cin=1 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a3_b6_c0 | a=3 b=6 cin=0 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a3_b6_c1 | a=3 b=6 cin=1 | sum=a cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a3_b7_c0 | a=3 b=7 cin=0 | sum=a cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a3_b7_c1 | a=3 b=7 cin=1 | sum=b cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a3_b8_c0 | a=3 b=8 cin=0 | sum=b cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b8_c1 | a=3 b=8 cin=1 | sum=c cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b9_c0 | a=3 b=9 cin=0 | sum=c cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_b9_c1 | a=3 b=9 cin=1 | sum=d cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_ba_c0 | a=3 b=a cin=0 | sum=d cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_ba_c1 | a=3 b=a cin=1 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_bb_c0 | a=3 b=b cin=0 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_bb_c1 | a=3 b=b cin=1 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_bc_c0 | a=3 b=c cin=0 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_bc_c1 | a=3 b=c cin=1 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_bd_c0 | a=3 b=d cin=0 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_bd_c1 | a=3 b=d cin=1 | sum=1 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_be_c0 | a=3 b=e cin=0 | sum=1 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_be_c1 | a=3 b=e cin=1 | sum=2 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_bf_c0 | a=3 b=f cin=0 | sum=2 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a3_bf_c1 | a=3 b=f cin=1 | sum=3 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b0_c0 | a=4 b=0 cin=0 | sum=4 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b0_c1 | a=4 b=0 cin=1 | sum=5 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b1_c0 | a=4 b=1 cin=0 | sum=5 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b1_c1 | a=4 b=1 cin=1 | sum=6 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b2_c0 | a=4 b=2 cin=0 | sum=6 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b2_c1 | a=4 b=2 cin=1 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b3_c0 | a=4 b=3 cin=0 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b3_c1 | a=4 b=3 cin=1 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a4_b4_c0 | a=4 b=4 cin=0 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a4_b4_c1 | a=4 b=4 cin=1 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a4_b5_c0 | a=4 b=5 cin=0 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a4_b5_c1 | a=4 b=5 cin=1 | sum=a cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a4_b6_c0 | a=4 b=6 cin=0 | sum=a cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a4_b6_c1 | a=4 b=6 cin=1 | sum=b cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a4_b7_c0 | a=4 b=7 cin=0 | sum=b cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a4_b7_c1 | a=4 b=7 cin=1 | sum=c cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a4_b8_c0 | a=4 b=8 cin=0 | sum=c cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b8_c1 | a=4 b=8 cin=1 | sum=d cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b9_c0 | a=4 b=9 cin=0 | sum=d cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_b9_c1 | a=4 b=9 cin=1 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_ba_c0 | a=4 b=a cin=0 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_ba_c1 | a=4 b=a cin=1 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_bb_c0 | a=4 b=b cin=0 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_bb_c1 | a=4 b=b cin=1 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_bc_c0 | a=4 b=c cin=0 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_bc_c1 | a=4 b=c cin=1 | sum=1 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_bd_c0 | a=4 b=d cin=0 | sum=1 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_bd_c1 | a=4 b=d cin=1 | sum=2 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_be_c0 | a=4 b=e cin=0 | sum=2 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_be_c1 | a=4 b=e cin=1 | sum=3 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_bf_c0 | a=4 b=f cin=0 | sum=3 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a4_bf_c1 | a=4 b=f cin=1 | sum=4 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_b0_c0 | a=5 b=0 cin=0 | sum=5 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_b0_c1 | a=5 b=0 cin=1 | sum=6 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_b1_c0 | a=5 b=1 cin=0 | sum=6 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_b1_c1 | a=5 b=1 cin=1 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_b2_c0 | a=5 b=2 cin=0 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_b2_c1 | a=5 b=2 cin=1 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b3_c0 | a=5 b=3 cin=0 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b3_c1 | a=5 b=3 cin=1 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b4_c0 | a=5 b=4 cin=0 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b4_c1 | a=5 b=4 cin=1 | sum=a cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b5_c0 | a=5 b=5 cin=0 | sum=a cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b5_c1 | a=5 b=5 cin=1 | sum=b cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b6_c0 | a=5 b=6 cin=0 | sum=b cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b6_c1 | a=5 b=6 cin=1 | sum=c cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b7_c0 | a=5 b=7 cin=0 | sum=c cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b7_c1 | a=5 b=7 cin=1 | sum=d cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a5_b8_c0 | a=5 b=8 cin=0 | sum=d cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_b8_c1 | a=5 b=8 cin=1 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_b9_c0 | a=5 b=9 cin=0 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_b9_c1 | a=5 b=9 cin=1 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_ba_c0 | a=5 b=a cin=0 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_ba_c1 | a=5 b=a cin=1 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_bb_c0 | a=5 b=b cin=0 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_bb_c1 | a=5 b=b cin=1 | sum=1 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_bc_c0 | a=5 b=c cin=0 | sum=1 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_bc_c1 | a=5 b=c cin=1 | sum=2 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_bd_c0 | a=5 b=d cin=0 | sum=2 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_bd_c1 | a=5 b=d cin=1 | sum=3 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_be_c0 | a=5 b=e cin=0 | sum=3 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_be_c1 | a=5 b=e cin=1 | sum=4 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_bf_c0 | a=5 b=f cin=0 | sum=4 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a5_bf_c1 | a=5 b=f cin=1 | sum=5 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_b0_c0 | a=6 b=0 cin=0 | sum=6 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_b0_c1 | a=6 b=0 cin=1 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_b1_c0 | a=6 b=1 cin=0 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_b1_c1 | a=6 b=1 cin=1 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b2_c0 | a=6 b=2 cin=0 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b2_c1 | a=6 b=2 cin=1 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b3_c0 | a=6 b=3 cin=0 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b3_c1 | a=6 b=3 cin=1 | sum=a cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b4_c0 | a=6 b=4 cin=0 | sum=a cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b4_c1 | a=6 b=4 cin=1 | sum=b cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b5_c0 | a=6 b=5 cin=0 | sum=b cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b5_c1 | a=6 b=5 cin=1 | sum=c cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b6_c0 | a=6 b=6 cin=0 | sum=c cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b6_c1 | a=6 b=6 cin=1 | sum=d cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b7_c0 | a=6 b=7 cin=0 | sum=d cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b7_c1 | a=6 b=7 cin=1 | sum=e cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a6_b8_c0 | a=6 b=8 cin=0 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_b8_c1 | a=6 b=8 cin=1 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_b9_c0 | a=6 b=9 cin=0 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_b9_c1 | a=6 b=9 cin=1 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_ba_c0 | a=6 b=a cin=0 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a6_ba_c1 | a=6 b=a cin=1 | sum=1 cout=1 ovflow=0
